Source,Target,Type,Weight
114,88,undirected,1
114,118,undirected,1
114,42,undirected,1
114,57,undirected,1
114,288,undirected,1
243,244,undirected,1
243,21,undirected,1
243,45,undirected,1
243,171,undirected,1
52,26,undirected,17
52,22,undirected,39
52,17,undirected,5
52,112,undirected,1
52,18,undirected,1
52,23,undirected,6
52,77,undirected,1
52,33,undirected,4
52,137,undirected,1
52,32,undirected,1
52,35,undirected,2
52,67,undirected,1
52,61,undirected,1
52,58,undirected,2
52,45,undirected,3
52,60,undirected,1
52,4,undirected,9
52,41,undirected,14
52,19,undirected,11
52,3,undirected,1
52,9,undirected,4
52,25,undirected,7
52,86,undirected,4
52,46,undirected,5
52,11,undirected,15
52,99,undirected,1
277,96,undirected,1
277,238,undirected,1
277,142,undirected,2
277,62,undirected,1
277,116,undirected,1
277,123,undirected,1
277,72,undirected,1
277,118,undirected,1
277,281,undirected,1
277,20,undirected,1
277,153,undirected,1
277,9,undirected,1
277,168,undirected,1
277,159,undirected,1
88,26,undirected,1
88,22,undirected,3
88,151,undirected,1
88,39,undirected,3
88,15,undirected,1
88,21,undirected,3
88,196,undirected,2
88,142,undirected,1
88,62,undirected,3
88,266,undirected,2
88,64,undirected,1
88,53,undirected,1
88,16,undirected,1
88,72,undirected,3
88,90,undirected,1
88,118,undirected,5
88,1,undirected,5
88,13,undirected,1
88,5,undirected,2
88,12,undirected,1
88,20,undirected,4
88,98,undirected,1
88,94,undirected,1
88,36,undirected,1
88,149,undirected,2
88,10,undirected,4
88,34,undirected,1
88,199,undirected,4
88,122,undirected,1
88,261,undirected,1
88,176,undirected,1
88,141,undirected,1
88,153,undirected,1
88,160,undirected,2
88,177,undirected,1
88,60,undirected,1
88,57,undirected,3
88,44,undirected,1
88,19,undirected,3
88,167,undirected,1
88,150,undirected,1
88,9,undirected,1
88,175,undirected,1
88,66,undirected,1
88,120,undirected,1
69,22,undirected,3
69,7,undirected,1
69,151,undirected,2
69,83,undirected,1
69,15,undirected,1
69,21,undirected,1
69,23,undirected,3
69,62,undirected,5
69,31,undirected,2
69,121,undirected,1
69,152,undirected,1
69,64,undirected,2
69,314,undirected,1
69,32,undirected,1
69,87,undirected,1
69,118,undirected,1
69,1,undirected,3
69,95,undirected,1
69,82,undirected,3
69,29,undirected,3
69,30,undirected,2
69,67,undirected,1
69,215,undirected,1
69,98,undirected,1
69,36,undirected,5
69,10,undirected,4
69,54,undirected,1
69,214,undirected,1
69,122,undirected,2
69,37,undirected,3
69,85,undirected,1
69,153,undirected,1
69,60,undirected,1
69,57,undirected,1
69,38,undirected,4
69,19,undirected,1
69,92,undirected,1
69,9,undirected,6
69,168,undirected,3
69,11,undirected,2
69,66,undirected,1
69,27,undirected,1
