Id,Label,Hue_Name,Temperature,Start_year,End_year
1,Gray,red,Warm,1862,1890
2,Black Shadows,carmine,Warm,1862,1890
3,Snow,red,Warm,1862,1890
4,Seashell,orange,Warm,1862,1890
5,Ivory,yellow (web color)=lemon yellow,Warm,1864,1890
6,Honeydew,green,Cold,1867,1890
7,Black Olive,yellowish green,Warm,1867,1890
8,Ebony,"yellowish green, chartreuse",Cold,1867,1890
9,Tan,orange,Warm,1873,1890
10,Metallic Sunburst,golden yellow,Warm,1873,1890
11,Van Dyke,orange,Warm,1873,1890
12,Lemon Chiffon,yellow (web color)=lemon yellow,Warm,1873,1890
13,Grullo,orange,Warm,1873,1890
14,Dutch White,golden yellow,Warm,1873,1890
15,Burlywood,orange,Warm,1873,1890
16,Fawn,orange,Warm,1873,1890
17,Caput Mortuum,red,Warm,1873,1890
18,Chamoisee,orange,Warm,1873,1890
19,Smoky Black,orange,Warm,1873,1890
20,Light Yellow,yellow (web color)=lemon yellow,Warm,1873,1890
21,Camel,orange,Warm,1873,1890
22,Bistre,orange,Warm,1873,1890
23,Coffee,orange,Warm,1873,1890
24,Isabelline,orange,Warm,1874,1890
25,Taupe,orange,Warm,1875,1890
26,Beaver,vermilion,Warm,1875,1890
27,Wheat,golden yellow,Warm,1875,1890
28,Bisque,orange,Warm,1875,1890
29,Khaki,yellow (web color)=lemon yellow,Warm,1876,1890
30,Light Goldenrod,golden yellow,Warm,1876,1890
31,Dark Brown,orange,Warm,1876,1890
32,French Beige,orange,Warm,1876,1890
33,Dark Sienna,red,Warm,1876,1890
34,Navajo White,orange,Warm,1877,1890
35,Granite Gray,red,Warm,1877,1890
36,Mellow Apricot,orange,Warm,1877,1890
37,Persian Orange,orange,Warm,1877,1890
38,Sienna,vermilion,Warm,1877,1890
39,Bulgarian Rose,carmine,Warm,1877,1890
40,Lemon Meringue,golden yellow,Warm,1878,1890
41,Silver Pink,red,Warm,1879,1890
42,Old Gold,golden yellow,Warm,1879,1890
43,Bronze,orange,Warm,1879,1890
44,Sepia,orange,Warm,1879,1890
45,Sage,yellow (web color)=lemon yellow,Warm,1880,1890
46,Tuscany,red,Warm,1880,1888
47,French Bistre,orange,Warm,1881,1890
48,Old Burgundy,red,Warm,1881,1890
49,Peach Puff,orange,Warm,1881,1890
50,Russet,orange,Warm,1881,1889
51,Cornsilk,golden yellow,Warm,1881,1890
52,Antique White,orange,Warm,1881,1890
53,Eggshell,golden yellow,Warm,1881,1890
54,Middle Yellow,orange,Warm,1881,1890
55,Lavender Blue,blue (web color)=ultramarine,Cold,1881,1883
56,Citron,yellow (web color)=lemon yellow,Warm,1881,1890
57,Seal Brown,vermilion,Warm,1881,1890
58,Rifle Green,"yellowish green, chartreuse",Cold,1881,1890
59,Dark Jungle,"turquoise green, bluish green",Cold,1881,1888
60,Sandy Brown,orange,Warm,1881,1890
61,Misty Rose,red,Warm,1881,1888
62,Copper,orange,Warm,1881,1890
63,Light French,golden yellow,Warm,1881,1890
64,Earth Yellow,orange,Warm,1881,1890
65,Timberwolf,orange,Warm,1881,1890
66,Vegas Gold,golden yellow,Warm,1881,1890
67,Light Salmon,vermilion,Warm,1881,1890
68,Dim Gray,red,Warm,1881,1890
69,Arylide Yellow,golden yellow,Warm,1881,1890
70,Sky Blue,azure,Cold,1881,1889
71,Misty Moss,yellow (web color)=lemon yellow,Warm,1881,1890
72,Firebrick,red,Warm,1881,1890
